"No","Title_E","OctetNo","Contents_E","Note_E","Status"
1200.00,"Product definition template 4.1100 - Hovmöller-type grid with no averaging or other statistical processing","31-34","Scaled value of second fixed surface",,"Experimental"
1201.00,"Product definition template 4.1101 - Hovmöller-type grid with averaging or other statistical processing","10","Parameter category","(see Code table 4.1)#GRIB2_6_0_1_codeflag.doc#G2_CF41","Experimental"
1202.00,"Product definition template 4.1101 - Hovmöller-type grid with averaging or other statistical processing","11","Parameter number","(see Code table 4.2)#GRIB2_6_0_1_codeflag.doc#G2_CF42","Experimental"
1203.00,"Product definition template 4.1101 - Hovmöller-type grid with averaging or other statistical processing","12","Type of generating process","(see Code table 4.3)#GRIB2_6_0_1_codeflag.doc#G2_CF43","Experimental"
1204.00,"Product definition template 4.1101 - Hovmöller-type grid with averaging or other statistical processing","13","Background generating process identifier (defined by originating centre)",,"Experimental"
1205.00,"Product definition template 4.1101 - Hovmöller-type grid with averaging or other statistical processing","14","Analysis or forecast generating process identifier (defined by originating centre)",,"Experimental"
1206.00,"Product definition template 4.1101 - Hovmöller-type grid with averaging or other statistical processing","15-16","Hours of observational data cutoff after reference time","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Pdt41101n","Experimental"
1207.00,"Product definition template 4.1101 - Hovmöller-type grid with averaging or other statistical processing","17","Minutes of observational data cutoff after reference time",,"Experimental"
1208.00,"Product definition template 4.1101 - Hovmöller-type grid with averaging or other statistical processing","18","Indicator of unit of time range","(see Code table 4.4)#GRIB2_6_0_1_codeflag.doc#G2_CF44","Experimental"
1209.00,"Product definition template 4.1101 - Hovmöller-type grid with averaging or other statistical processing","19-22","Forecast time in units defined by octet 18","(see Note 2)#GRIB2_6_0_1_temp.doc#G2_Pdt41101n","Experimental"
1210.00,"Product definition template 4.1101 - Hovmöller-type grid with averaging or other statistical processing","23","Type of first fixed surface","(see Code table 4.5)#GRIB2_6_0_1_codeflag.doc#G2_CF45","Experimental"
1211.00,"Product definition template 4.1101 - Hovmöller-type grid with averaging or other statistical processing","24","Scale factor of first fixed surface",,"Experimental"
1212.00,"Product definition template 4.1101 - Hovmöller-type grid with averaging or other statistical processing","25-28","Scaled value of first fixed surface",,"Experimental"
1213.00,"Product definition template 4.1101 - Hovmöller-type grid with averaging or other statistical processing","29","Type of second fixed surface","(see Code table 4.5)#GRIB2_6_0_1_codeflag.doc#G2_CF45","Experimental"
1214.00,"Product definition template 4.1101 - Hovmöller-type grid with averaging or other statistical processing","30","Scale factor of second fixed surface",,"Experimental"
1215.00,"Product definition template 4.1101 - Hovmöller-type grid with averaging or other statistical processing","31-34","Scaled value of second fixed surface",,"Experimental"
1216.00,"Product definition template 4.1101 - Hovmöller-type grid with averaging or other statistical processing","35-38","Total number of data values missing in the statistical process",,"Experimental"
1217.00,"Product definition template 4.1101 - Hovmöller-type grid with averaging or other statistical processing","39","Statistical process used to calculate the processed field from the field at each time increment during the time range","(see Code table 4.10)#GRIB2_6_0_1_codeflag.doc#G2_CF410","Experimental"
1218.00,"Product definition template 4.1101 - Hovmöller-type grid with averaging or other statistical processing","40","Type of time increment between successive fields used in the statistical processing","(see Code table 4.11)#GRIB2_6_0_1_codeflag.doc#G2_CF411","Experimental"
1219.00,"Product definition template 4.1101 - Hovmöller-type grid with averaging or other statistical processing","41","Indicator of unit of time for time range over which statistical processing is done","(see Code table 4.4)#GRIB2_6_0_1_codeflag.doc#G2_CF44","Experimental"
1220.00,"Product definition template 4.1101 - Hovmöller-type grid with averaging or other statistical processing","42-45","Length of the time range over which statistical processing is done, in units defined by the previous octet",,"Experimental"
1221.00,"Product definition template 4.1101 - Hovmöller-type grid with averaging or other statistical processing","46","Indicator of unit of time for increment between the successive fields used","(see Code table 4.4)#GRIB2_6_0_1_codeflag.doc#G2_CF44","Experimental"
1222.00,"Product definition template 4.1101 - Hovmöller-type grid with averaging or other statistical processing","47-50","Time increment between successive fields, in units defined by the previous octet","(see Note 3)#GRIB2_6_0_1_temp.doc#G2_Pdt41101n","Experimental"
1223.00,"Data representation template 5.0 - Grid point data - simple packing","12-15","Reference value (R) (IEEE 32-bit floating-point value)",,"Operational"
1224.00,"Data representation template 5.0 - Grid point data - simple packing","16-17","Binary scale factor (E)",,"Operational"
1225.00,"Data representation template 5.0 - Grid point data - simple packing","18-19","Decimal scale factor (D)",,"Operational"
