"No","Title_E","SubTitle_E","CodeFlag","Value","MeaningParameterDescription_E","Note_E","UnitComments_E","Status"
735,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","13",,"Volumetric direct evaporation cease (soil moisture)",,"m3 m-3","Operational"
736,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","14",,"Direct evaporation cease (soil moisture)",,"kg m-3","Operational"
737,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","15",,"Soil porosity",,"m3 m-3","Operational"
738,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","16",,"Volumetric saturation of soil moisture",,"m3 m-3","Operational"
739,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","17",,"Saturation of soil moisture",,"kg m-3","Operational"
740,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","18",,"Soil Temperature",,"K","Validation"
741,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","19",,"Soil moisture",,"kg m-3","Validation"
742,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","20",,"Column-integrated soil moisture",,"kg m-2","Validation"
743,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","21",,"Soil ice",,"kg m-3","Validation"
744,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","22",,"Column-integrated soil ice",,"kg m-2","Validation"
745,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","23-191",,"Reserved",,,"Validation"
746,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","192-254",,"Reserved for local use",,,"Operational"
747,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","255",,"Missing",,,"Operational"
748,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 4: Fire weather products","0",,"Fire outlook",,"Code table 4.224","Operational"
749,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 4: Fire weather products","1",,"Fire outlook due to dry thunderstorm",,"Code table 4.224","Operational"
751,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 3 - Satellite products, parameter category 0: image format products","0",,"Scaled radiance",,"Numeric","Operational"
752,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 3 - Satellite products, parameter category 0: image format products","1",,"Scaled albedo",,"Numeric","Operational"
753,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 3 - Satellite products, parameter category 0: image format products","2",,"Scaled brightness temperature",,"Numeric","Operational"
754,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 3 - Satellite products, parameter category 0: image format products","3",,"Scaled precipitable water",,"Numeric","Operational"
755,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 3 - Satellite products, parameter category 0: image format products","4",,"Scaled lifted index",,"Numeric","Operational"
756,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 3 - Satellite products, parameter category 0: image format products","5",,"Scaled cloud top pressure",,"Numeric","Operational"
757,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 3 - Satellite products, parameter category 0: image format products","6",,"Scaled skin temperature",,"Numeric","Operational"
758,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 3 - Satellite products, parameter category 0: image format products","7",,"Cloud mask",,"Code table 4.217","Operational"
759,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 3 - Satellite products, parameter category 0: image format products","8",,"Pixel scene type",,"Code table 4.218","Operational"
760,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 3 - Satellite products, parameter category 0: image format products","9",,"Fire detection indicator",,"Code table 4.223","Operational"
761,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 3 - Satellite products, parameter category 0: image format products","10-191",,"Reserved",,,"Operational"
762,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 3 - Satellite products, parameter category 0: image format products","192-254",,"Reserved for local use",,,"Operational"
763,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 3 - Satellite products, parameter category 0: image format products","255",,"Missing",,,"Operational"
764,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 3 - Satellite products, parameter category 1: quantitative products","0",,"Estimated precipitation",,"kg m-2","Operational"
765,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 3 - Satellite products, parameter category 1: quantitative products","1",,"Instantaneous rain rate",,"kg m-2 s-1","Operational"
766,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 3 - Satellite products, parameter category 1: quantitative products","2",,"Cloud top height",,"m","Operational"
767,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 3 - Satellite products, parameter category 1: quantitative products","3",,"Cloud top height quality indicator",,"Code table 4.219","Operational"
768,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 3 - Satellite products, parameter category 1: quantitative products","4",,"Estimated u component of wind",,"m/s","Operational"
769,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 3 - Satellite products, parameter category 1: quantitative products","5",,"Estimated v component of wind",,"m/s","Operational"
